food_id,canonical_short_food_name,canonical_product_name,canonical_food_category,reviewed_food_category,resolved_food_category,resolved_food_category_key,category_source,food_id_event_count,food_id_weight_g_total,amed_component,suggested_amed_component,mapping_status,mapping_basis
1012125,Turkey Shawarma,Turkey shawarma in pita,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,823,292386.4,red_processed_meat,,mapped,direct_food_category
1011068,Meatballs,Beef meatballs baked without oil,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,761,108641.2,red_processed_meat,,mapped,direct_food_category
1007219,Meatballs,Beef meatballs cooked without sauce,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,739,103657,red_processed_meat,,mapped,direct_food_category
1012890,Veal Meatballs,Minced veal or cooked meatball,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,701,58266.5,red_processed_meat,,mapped,direct_food_category
1008400,Beef,Fresh beef loin/ sirloin,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,683,96575,red_processed_meat,,mapped,direct_food_category
1011305,Steak,Roast beef steak,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,639,116189,red_processed_meat,,mapped,direct_food_category
1010653,Beef,Beef slider with sauce,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,620,101277,red_processed_meat,,mapped,direct_food_category
1011716,Hamburger,Beef hamburger 25% grilled fat,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,603,102354,red_processed_meat,,mapped,direct_food_category
1013248,Meatballs,Beef meatballs fried without oil,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,548,62213,red_processed_meat,,mapped,direct_food_category
1010587,Meatballs,Beef meatballs cooked in Segev tomato sauce,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,541,82068.5,red_processed_meat,,mapped,direct_food_category
