tabular_field_name,field_string,description_string,folder_id,feature_set,field_type,strata,data_coding,array,pandas_dtype,bulk_file_extension,relative_location,units,bulk_dictionary,sampling_rate,transformation,list_of_tags,stability,sexed,debut,completed
collection_date,Date,Datetime column relecting the time food item was logged,5,diet_logging,Datetime,Collection time,,Single,datetime64[ns],,diet_logging/diet_logging.parquet,Time,,,,"Diet, Lifestyle and enviroment",Accruing,Both sexes,2019-01-29,
logging_day,Logging day per participant,Integer indicating which day of logging period,5,diet_logging_events,Integer,Primary,,Single,int,,diet_logging/diet_logging.parquet,,,,,"Diet, Lifestyle and enviroment",Accruing,Both sexes,2019-01-29,
total_logging_days,Total number of days logged,Total number of days diet was logged per research stage,5,diet_logging,Integer,Primary,,Single,int,,diet_logging/diet_logging.parquet,,,,,"Diet, Lifestyle and enviroment",Accruing,Both sexes,2019-01-29,
timezone,Timezone,Timezone,5,diet_logging,Text,Collection time,,Single,string,,diet_logging/diet_logging.parquet,,,,,"Diet, Lifestyle and enviroment",Accruing,Both sexes,2019-01-29,
food_items,Food items,Total number of food items logged per day,5,diet_logging,Integer,Primary,,Single,int,,diet_logging/diet_logging.parquet,,,,,"Diet, Lifestyle and enviroment",Accruing,Both sexes,2019-01-29,
diet_logging_events,Diet logging events,File path to diet logging events,5,diet_logging_events,Time series file (group),Auxiliary,,Single,string,parquet,diet_logging/diet_logging.parquet,,diet_logging__diet_logging_events,,,"Diet, Lifestyle and enviroment",Accruing,Both sexes,2019-01-29,
raw_diet_logging_events,Raw diet logging events,File path to raw diet logging events,5,raw_diet_logging_events,Time series file (group),Auxiliary,,Single,string,parquet,diet_logging/diet_logging.parquet,,diet_logging__raw_diet_logging_events,,,"Diet, Lifestyle and enviroment",Accruing,Both sexes,2019-01-29,
